gds_sclsf_nm,month,grade,vwap_grade,vwap_all,ratio,n
미안마,10,특,5052.062256809339,4275.963556046383,1.181502646266833,133
미안마,11,4등,2703.9942528735633,3591.4774897680763,0.752891883793535,54
미안마,11,5등,3421.522491349481,3591.4774897680763,0.9526782504128766,44
미안마,11,6등,3589.476439790576,3591.4774897680763,0.9994428337687759,31
미안마,11,8등,2690.272373540856,3591.4774897680763,0.7490712057099885,48
미안마,11,등외,3164.8709433962263,3591.4774897680763,0.881216978921007,459
미안마,11,보통,2296.2105263157896,3591.4774897680763,0.6393498310535339,48
미안마,11,상,2963.6785714285716,3591.4774897680763,0.8251975906495114,259
미안마,11,특,4026.387594271672,3591.4774897680763,1.1210950383909215,939
미안마,12,등외,3723.0972551677396,4217.205361805838,0.882835180114037,214
미안마,12,상,3569.819450143619,4217.205361805838,0.8464893558361114,243
미안마,12,특,4472.911249783325,4217.205361805838,1.0606339663449522,793
미야비,1,4등,5320.335802469136,3458.748601378011,1.5382256462205564,32
미야비,1,6등,3554.5765472312705,3458.748601378011,1.0277059586854855,31
미야비,1,무등급,2802.203098106713,3458.748601378011,0.8101783104416084,46
미야비,1,보통,1576.3986409966026,3458.748601378011,0.45577138516761373,35
미야비,1,상,2844.1599163835904,3458.748601378011,0.8223089458570189,121
미야비,1,특,3631.5344603381013,3458.748601378011,1.0499561774716006,516
미야비,2,상,2391.864406779661,2828.902960265949,0.8455095280308939,60
미야비,2,특,2861.5100889563896,2828.902960265949,1.0115264217784887,248
미야비,3,등외,3242.2433460076045,3273.696254365892,0.9903922337582967,41
미야비,3,상,2665.530671859786,3273.696254365892,0.8142266309236724,83
미야비,3,특,3470.2182619142973,3273.696254365892,1.0600306174668215,322
미야비,4,상,2470.5215646940824,3514.9309682728353,0.7028648889534368,87
미야비,4,특,3822.4695894576785,3514.9309682728353,1.0874949249247876,535
미야비,5,상,2599.3018480492815,3948.968171894749,0.6582230433126317,90
미야비,5,특,4599.128486055777,3948.968171894749,1.1646405556743384,427
미야비,6,등외,5412.7027027027025,4853.218741704274,1.1152810105571211,48
미야비,6,상,3171.9358288770054,4853.218741704274,0.6535736379694143,85
미야비,6,특,5936.9282172882085,4853.218741704274,1.2232970597989934,316
미야비,10,등외,5148.117154811715,4571.74672489083,1.1260722574115585,47
미야비,10,특,4740.320591861899,4571.74672489083,1.0368729671863208,56
미야비,11,상,3231.020942408377,4969.326303456356,0.6501929527471517,72
미야비,11,특,5327.038091847633,4969.326303456356,1.0719839605103965,320
미야비,12,상,3146.4876033057853,5457.274826789839,0.5765675549011448,31
미야비,12,특,6050.774818401937,5457.274826789839,1.1087539129784336,114
서광,6,특,3435.4545454545455,2823.7272727272725,1.216638228002962,46
시나노골드,9,등외,4729.509803921569,4629.661246612466,1.0215671410909735,50
시나노골드,9,상,2821.4776632302405,4629.661246612466,0.6094350132625195,78
시나노골드,9,특,5268.051359516617,4629.661246612466,1.1378913226904586,202
시나노골드,10,상,3440.7438715131025,4880.8564589059315,0.7049467445892401,83
시나노골드,10,특,5112.724458204334,4880.8564589059315,1.0475055968661648,379
시나노레드,7,상,2950.8,3346.449275362319,0.8817704250665859,38
시나노레드,7,특,3466.4772727272725,3346.449275362319,1.035867269302015,53
시나노레드,8,상,2601.923076923077,5339.3452380952385,0.48731126400271674,38
시나노레드,8,특,5333.421052631579,5339.3452380952385,0.9988904659280334,51
시나노레드,10,특,4752.040085898354,4708.653175157013,1.009214293159295,49
시나노스위트,9,등외,3581.9808306709265,2849.1835569511845,1.2571955295515898,41
시나노스위트,9,상,1486.1691542288556,2849.1835569511845,0.5216122880546016,33
시나노스위트,9,특,3295.166468489893,2849.1835569511845,1.156530073483907,193
시나노스위트,10,4등,3120.5228758169933,3345.3489377408746,0.9327944360639081,36
시나노스위트,10,6등,2735.121638924456,3345.3489377408746,0.8175893426446249,37
시나노스위트,10,7등,2383.0754716981132,3345.3489377408746,0.7123548293612122,31
시나노스위트,10,8등,1905.2117263843647,3345.3489377408746,0.5695106136434785,31
시나노스위트,10,무등급,1612.2442244224424,3345.3489377408746,0.48193604147948654,66
시나노스위트,10,보통,860.8067226890756,3345.3489377408746,0.25731448010633573,41
시나노스위트,10,상,1976.6560456146235,3345.3489377408746,0.590866926709734,173
시나노스위트,10,특,4209.361123773827,3345.3489377408746,1.2582726651577407,658
아리수,9,8등,3648.6206896551726,5444.313875111281,0.6701708926692981,36
아리수,9,등외,5127.8729281767955,5444.313875111281,0.9418767995024869,131
아리수,9,상,4414.797630799605,5444.313875111281,0.8109006446123328,134
아리수,9,특,6178.073417097808,5444.313875111281,1.1347753929730087,287
아오리,7,등외,2574.938271604938,3462.121212121212,0.743745846502958,111
아오리,7,상,2054.932249322493,3462.121212121212,0.5935471704826457,116
아오리,7,특,3853.704922077388,3462.121212121212,1.1131051416065978,542
아오리,8,4등,2899.4386298763084,3074.7114075528807,0.9429953727540011,141
아오리,8,6등,1870.362554112554,3074.7114075528807,0.608305075239939,411
아오리,8,7등,1484.0964818763325,3074.7114075528807,0.4826783021751963,418
아오리,8,8등,1222.7975228863759,3074.7114075528807,0.397695055179043,442
아오리,8,등외,3034.917690702527,3074.7114075528807,0.9870577392230692,353
아오리,8,무등급,969.1735537190083,3074.7114075528807,0.31520797410068474,689
아오리,8,보통,522.3310944290794,3074.7114075528807,0.16987971396144633,332
아오리,8,상,1694.885232581759,3074.7114075528807,0.5512339234239529,881
아오리,8,특,4463.092017121519,3074.7114075528807,1.4515482676384355,3848
애기사과,8,특,7799.484203739523,7389.307969826172,1.0555094246427787,32
애기사과,9,특,3864.5816003992677,3287.430043088505,1.1755631449935084,45
양광,9,상,3138.655097613883,3979.9127571312492,0.7886240953372678,31
양광,9,특,4321.628460851444,3979.9127571312492,1.0858600990958671,49
양광,10,4등,4457.476635514019,4963.704875761838,0.8980140332839346,98
양광,10,6등,4442.88840262582,4963.704875761838,0.8950750525722821,84
양광,10,7등,3687.8260869565215,4963.704875761838,0.742958370664716,50
양광,10,등외,5388.785769528229,4963.704875761838,1.0856378258590866,36
양광,10,무등급,2686.866666666667,4963.704875761838,0.5413026628127809,116
양광,10,보통,1231.7662565905096,4963.704875761838,0.2481546118112947,115
양광,10,상,3260.2736842105264,4963.704875761838,0.6568226286237725,442
양광,10,특,5972.880968858131,4963.704875761838,1.203311058645767,1386
요까,9,4등,2913.442832764505,1511.169133543988,1.9279396118500054,101
요까,9,6등,907.1215596330276,1511.169133543988,0.6002779831173826,93
요까,9,7등,695.377358490566,1511.169133543988,0.4601585243206826,70
요까,9,8등,517.1487603305785,1511.169133543988,0.342217657078373,44
요까,9,무등급,521.6705202312139,1511.169133543988,0.3452098832959844,110
요까,9,상,1012.6952892069171,1511.169133543988,0.6701402687017224,161
요까,9,특,1954.7512969179127,1511.169133543988,1.2935357489294645,194
요까,10,6등,2177.9574468085107,2516.369837059492,0.8655156387320102,35
요까,10,무등급,1522.2662889518413,2516.369837059492,0.6049453727082852,49
요까,10,보통,670.7399103139013,2516.369837059492,0.2665506081163711,33
요까,10,상,1703.3789329685362,2516.369837059492,0.6769191507076012,78
요까,10,특,3779.0376984126983,2516.369837059492,1.5017815119055389,262
홍로,8,7등,2769.4307400379507,5721.732233386576,0.48401963375325263,34
홍로,8,8등,1818.72131147541,5721.732233386576,0.31786201053993507,35
홍로,8,등외,4112.044609665428,5721.732233386576,0.7186712767982141,90
홍로,8,무등급,1206.4566929133857,5721.732233386576,0.21085514730550556,46
홍로,8,보통,1775.934065934066,5721.732233386576,0.3103839874874618,30
홍로,8,상,3404.0205479452056,5721.732233386576,0.594928320497521,642
홍로,8,특,6507.166408848143,5721.732233386576,1.1372720958311404,1666
홍로,9,4등,4378.535805626599,3007.1770352524563,1.4560286123158077,1021
홍로,9,5등,4999.801390268123,3007.1770352524563,1.662622895711354,82
홍로,9,6등,1635.8356731195508,3007.1770352524563,0.5439771765822295,1104
홍로,9,7등,1238.3442410184189,3007.1770352524563,0.4117962549266602,1034
홍로,9,8등,857.9116766467066,3007.1770352524563,0.28528805141486585,841
홍로,9,등외,3924.575352983833,3007.1770352524563,1.305069607468042,819
홍로,9,무등급,797.6646220750981,3007.1770352524563,0.2652536291426332,1715
홍로,9,보통,651.9537144179588,3007.1770352524563,0.21679924619510355,869
홍로,9,상,2013.8394300088535,3007.1770352524563,0.6696777098258829,3324
홍로,9,특,4363.949672550691,3007.1770352524563,1.4511781718844934,8805
홍로,10,등외,4370.058139534884,4780.094583796886,0.914220014463332,34
홍로,10,무등급,1057.3296703296703,4780.094583796886,0.22119429893996384,36
홍로,10,상,2034.6604215456675,4780.094583796886,0.4256527534920685,75
홍로,10,특,6055.163550925265,4780.094583796886,1.2667455517408563,400
홍옥,9,상,2909.662447257384,4148.802729528536,0.7013258129985935,59
홍옥,9,특,5135.67955801105,4148.802729528536,1.237870270731012,161
홍옥,10,상,4097.051792828685,4638.034188034188,0.8833595499142286,59
홍옥,10,특,5615.0952380952385,4638.034188034188,1.210662752892551,174
후지,1,4등,3593.421843687375,3178.824836614385,1.1304246155049416,120
후지,1,5등,2359.871794871795,3178.824836614385,0.7423723911082758,36
후지,1,6등,3049.9392888117954,3178.824836614385,0.9594549701770106,98
후지,1,7등,2770.427257977285,3178.824836614385,0.8715256109952682,83
후지,1,8등,2271.9849246231156,3178.824836614385,0.7147247934060119,72
후지,1,등외,2313.82102425876,3178.824836614385,0.7278856631569234,259
후지,1,무등급,2322.4989783408255,3178.824836614385,0.7306155883739756,180
후지,1,보통,1771.7859565807328,3178.824836614385,0.5573713707571814,196
후지,1,상,2913.8636830219666,3178.824836614385,0.9166480799632182,579
후지,1,특,3368.9189688373804,3178.824836614385,1.0598001280326776,4229
후지,2,등외,1807.8415736310474,2332.324860305487,0.7751242566587645,129
후지,2,보통,2200.9030837004407,2332.324860305487,0.9436520277077384,44
후지,2,상,1872.3975294778215,2332.324860305487,0.8028030577320929,179
후지,2,특,2421.293243772279,2332.324860305487,1.038145793916178,938
후지,3,4등,3860.219341974078,2621.9870085618013,1.47224960664144,61
후지,3,5등,3937.4512353706114,2621.9870085618013,1.5017050895039947,41
후지,3,6등,4046.181719848567,2621.9870085618013,1.5431738245217155,102
후지,3,7등,3071.7451523545706,2621.9870085618013,1.1715333227526052,108
후지,3,8등,2180.6025492468134,2621.9870085618013,0.8316603179673672,108
후지,3,등외,2038.2318376068376,2621.9870085618013,0.7773615319035612,121
후지,3,무등급,2339.406512605042,2621.9870085618013,0.892226584253078,161
후지,3,보통,1474.6788860471725,2621.9870085618013,0.5624279911501375,240
